,title,description,originallink,link,pubDate
474,"현대차, 사우디 아람코와 친환경 엔진·연료 개발한다(종합)",KAUST는 연구 인력 및 시설을 지원함으로써 엔진 시험을 비롯한 모델링 및 검증으로 연구 성과 시너지를... 친환경 합성연료는 기존 연료 제조방식과 달리 물을 전기 분해해 생산한 수소와 대기에서 포집한 이산화탄소의... ,http://yna.kr/AKR20220329181651111?did=1195m,https://n.news.naver.com/mnews/article/001/0013080944?sid=104,"Wed, 30 Mar 2022 09:23:00 +0900"
475,"현대차·아람코·KAUST '맞손', 친환경 엔진 개발 박차",수소와 대기에서 포집한 이산화탄소의 촉매 반응을 통해 제조된 연료를 뜻한다. 친환경 합성연료의 가장 큰... 비롯한 모델링 및 검증으로 연구 성과에 대한 시너지를 창출한다는 계획이다.특히 이번 연구에서는 친환경... ,http://www.thedrive.co.kr/news/newsview.php?ncode=1065572352825146,http://www.thedrive.co.kr/news/newsview.php?ncode=1065572352825146,"Wed, 30 Mar 2022 09:22:00 +0900"
476,"현대차그룹, 아람코·KAUST와 친환경 엔진·연료 개발","친환경 합성연료는 기존 연료 제조 방식과 달리 물을 전기 분해해 생산한 수소와 대기에서 포집한... 킹 압둘라 과학기술 대학은 연구 인력, 시설을 지원해 엔진 시험과 모델링, 검증 등을 거칠 예정이다. 이번 연구에서는... ",http://news.tf.co.kr/read/economy/1927789.htm,https://n.news.naver.com/mnews/article/629/0000140396?sid=101,"Wed, 30 Mar 2022 09:21:00 +0900"
477,"현대차그룹, 아람코·KAUST와 친환경 엔진·연료 개발 나선다",친환경 합성연료는 기존 연료 제조 방식과 달리 물을 전기 분해해 생산한 수소와 대기에서 포집한... 킹 압둘라 과학기술 대학은 연구 인력 및 시설을 지원함으로써 엔진 시험을 비롯한 모델링 및 검증으로 연구 성과에... ,http://www.edaily.co.kr/news/newspath.asp?newsid=01623606632268568,https://n.news.naver.com/mnews/article/018/0005177748?sid=103,"Wed, 30 Mar 2022 09:17:00 +0900"
478,"현대차그룹·아람코·KAUST, 온실가스 저감 위한 친환경 엔진·연료 개발",수소와 대기에서 포집한 이산화탄소의 촉매 반응을 통해 제조된 연료를 뜻한다. 친환경 합성연료의... 비롯한 모델링 및 검증으로 연구 성과에 대한 시너지를 창출한다는 계획이다. 특히 이번 연구에서는 친환경... ,http://www.econonews.co.kr/news/articleView.html?idxno=241190,http://www.econonews.co.kr/news/articleView.html?idxno=241190,"Wed, 30 Mar 2022 09:16:00 +0900"
479,"현대차그룹, 아람코와 친환경 엔진·연료 개발 '맞손'",수소와 대기에서 포집한 이산화탄소의 촉매 반응을 통해 제조된 연료를 뜻한다. 친환경 합성연료의 가장 큰... 비롯한 모델링 및 검증으로 연구 성과에 대한 시너지를 창출한다는 계획이다. 특히 이번 연구에서는 친환경... ,http://www.dizzotv.com/site/data/html_dir/2022/03/30/2022033080011.html,http://www.dizzotv.com/site/data/html_dir/2022/03/30/2022033080011.html,"Wed, 30 Mar 2022 09:14:00 +0900"
480,"현대차그룹, 아람코·KAUST와 초희박 연소 엔진·친환경 합성연료 공동 연구","친환경 합성연료는 기존 연료 제조 방식과 달리 물을 전기 분해해 생산한 수소와 대기에서 포집한... 킹 압둘라 과학기술 대학은 연구와 시설을 지원, 엔진 시험을 비롯한 모델링 및 검증으로 연구 성과에 대한... ",https://www.news1.kr/articles/?4631640,https://n.news.naver.com/mnews/article/421/0005997693?sid=103,"Wed, 30 Mar 2022 09:13:00 +0900"
481,"현대차그룹·아람코·KAUST, ‘온실가스 저감’ 친환경 엔진·연료 개발한다",친환경 합성연료는 기존 연료 제조 방식과 달리 물을 전기 분해해 생산한 수소와 대기에서 포집한... 엔진 시험을 비롯한 모델링과 검증을 통해 시너지를 창출한다는 계획이다. 특히 이번 연구에서 친환경 합성연료를 일반... ,http://news.heraldcorp.com/view.php?ud=20220330000099,https://n.news.naver.com/mnews/article/016/0001970486?sid=101,"Wed, 30 Mar 2022 09:11:00 +0900"
482,"현대차그룹·아람코·KAUST, 친환경 엔진·연료 개발",친환경 합성연료는 기존 연료 제조 방식과 달리 물을 전기 분해해 생산한 수소와 대기에서 포집한... 비롯한 모델링 및 검증으로 연구 성과에 대한 시너지를 창출한다는 계획이다. 친환경 엔진-연료 개발 흐름도.... ,https://www.onews.tv/news/articleView.html?idxno=119829,https://www.onews.tv/news/articleView.html?idxno=119829,"Wed, 30 Mar 2022 09:04:00 +0900"
483,"현대차그룹‧아람코·KAUST, 전기차-내연기관 공존 위한 친환경 엔진‧연료 개...",친환경 합성연료는 기존 연료 제조 방식과 달리 물을 전기 분해해 생산한 수소와 대기에서 포집한... 킹 압둘라 과학기술 대학은 연구 인력 및 시설을 지원함으로써 엔진 시험을 비롯한 모델링 및 검증으로 연구 성과에... ,http://www.cstimes.com/news/articleView.html?idxno=493696,http://www.cstimes.com/news/articleView.html?idxno=493696,"Wed, 30 Mar 2022 09:04:00 +0900"
