,title,description,originallink,link,pubDate
174,"SK㈜ C&amp;C, 지능형 건강관리 플랫폼 &apos;킵웰&apos; 출시",사진=SK㈜ C&amp;C SK㈜ C&amp;C는 18일 <b>데이터</b> 기반 사용자 맞춤형 웰니스 건강관리 플랫폼 &apos;킵웰&apos;을 출시했다고 밝혔다. 킵웰은 SK㈜ C&amp;C가 운영 중인 클라우드 온 클라우드형 인공지능(AI)∙<b>데이터</b> 플랫폼을 활용한 지능형 건강관리... ,http://www.seoulfn.com/news/articleView.html?idxno=464492,http://www.seoulfn.com/news/articleView.html?idxno=464492,"Thu, 18 Aug 2022 08:45:00 +0900"
175,"서울시, &apos;<b>빅데이터</b>캠퍼스 분원&apos; 국회도서관에 19일 개소", 서울시가 2013년부터 수집한 민간‧공공데이터를 시민 누구나 자유롭게 분석‧활용할 수 있는 &apos;<b>빅데이터</b>캠퍼스 국회도서관 분원&apos;을 8월 19일 신규 개소한다. 서울특별시 영등포구 의사당대로 1 국회의사당 (국회도서관)... ,http://www.enewstoday.co.kr/news/articleView.html?idxno=1591708,http://www.enewstoday.co.kr/news/articleView.html?idxno=1591708,"Thu, 18 Aug 2022 08:45:00 +0900"
176,"SK-SK에너지, 미국 에너지솔루션기업 아톰파워 2천억에 인수","사용 <b>데이터</b>를 측정하고 수집하는 역할도 한다. 아톰파워의 회로차단기가 수집하는 <b>데이터</b>는 전력 사용량, 태양광 발전량, 전기차 충전량, 에너지 저장장치(ESS) 충전량 및 방전량 등 다양하다. 회로차단기가 모은 전력... ",https://www.businesspost.co.kr/BP?command=article_view&num=290227,https://www.businesspost.co.kr/BP?command=article_view&num=290227,"Thu, 18 Aug 2022 08:44:00 +0900"
177,"SK㈜ C&amp;C, 나만의 일상 속 지능형 건강관리 플랫폼 선봬","SK㈜ C&amp;C는 18일, <b>데이터</b> 기반 사용자 맞춤형 웰니스 건강관리 플랫폼 &apos;킵웰(KeepWell)&apos;을 출시했다고 이날 밝혔다. &apos;킵웰(KeepWell)&apos;은 SK㈜ C&amp;C가 운영 중인 클라우드 온 클라우드(Cloud on Cloud)형 인공지능(AI)∙<b>데이터</b> 플랫폼을... ",http://www.koit.co.kr/news/articleView.html?idxno=101436,http://www.koit.co.kr/news/articleView.html?idxno=101436,"Thu, 18 Aug 2022 08:44:00 +0900"
178,[미국 뉴욕증시] 다우 나스닥 하락 전환...FOMC 의사록서 금리 인상 의지,이에 정책 결정의 속도와 규모를 판단하는 데 &quot;<b>데이터</b> 의존적인 접근 방식이 중요할 것&quot;이라고 강조했다. 아울러 위원들은 &quot;통화정책 기조가 더욱 긴축적으로 되면 누적된 정책 조정이 경제 활동에 미치는 영향을... ,https://www.jeonmae.co.kr/news/articleView.html?idxno=909421,https://www.jeonmae.co.kr/news/articleView.html?idxno=909421,"Thu, 18 Aug 2022 08:44:00 +0900"
179,[오늘의 주요일정]강원(8월18일 목요일),"One-Team 비전공유 시군방문, 양구군청 ▲8월19~21일 제4회 고성DMZ 전국유소년 축구 클럽대회, 고성종합운동장 ▶ 네이버에서 뉴시스 구독하기 ▶ K-Artprice, 유명 미술작품 가격 공개 ▶ 뉴시스 <b>빅데이터</b> MSI... ",http://www.newsis.com/view/?id=NISX20220818_0001982068&cID=10899&pID=10800,https://n.news.naver.com/mnews/article/003/0011369206?sid=102,"Thu, 18 Aug 2022 08:44:00 +0900"
180,"CJ제일제당, 식품 상장기업 8월 브랜드평판 1위···오뚜기 3위로 상승","  식품 상장기업 브랜드평판 2022년 8월 <b>빅데이터</b> 분석결과, 1위 CJ제일제당 2위 오리온 3위 오뚜기 순으로 분석됐다.​ 한국기업평판연구소는 식품 상장기업 62개 브랜드에 대해서 <b>빅데이터</b> 분석을 활용한... ",https://www.enetnews.co.kr/news/articleView.html?idxno=6549,https://www.enetnews.co.kr/news/articleView.html?idxno=6549,"Thu, 18 Aug 2022 08:42:00 +0900"
181,"SK㈜·SK에너지, 美 에너지 기업 &apos;아톰파워&apos; 2000억에 인수","사용 <b>데이터</b>를 측정하고 수집하는 역할도 한다. 아톰파워의 회로차단기가 수집하는 <b>데이터</b>는 전력 사용량, 태양광 발전량, 전기차 충전량, 에너지 저장장치(ESS) 충∙방전량 등 다양하다. 회로차단기가 모은 전력... ",http://www.newsis.com/view/?id=NISX20220818_0001982111&cID=13001&pID=13000,https://n.news.naver.com/mnews/article/003/0011369203?sid=101,"Thu, 18 Aug 2022 08:42:00 +0900"
182,"SK, 美 에너지솔루션 기업 &apos;아톰파워&apos; 2천억원에 인수","사용 <b>데이터</b>를 측정하고 수집하는 역할도 한다. 아톰파워의 회로차단기가 수집하는 <b>데이터</b>는 전력 사용량, 태양광 발전량, 전기차 충전량, 에너지 저장장치(ESS) 충·방전량 등 다양하다. 회로차단기가 모은 전력... ",http://news.einfomax.co.kr/news/articleView.html?idxno=4229203,http://news.einfomax.co.kr/news/articleView.html?idxno=4229203,"Thu, 18 Aug 2022 08:36:00 +0900"
183,[Who Is ?] 이인호 한국무역보험공사 사장,"<b>빅데이터</b>, AI 등 신기술을 활용하여 고객에게 새로운 가치를 제공할 수 있도록 고객 친화적 제도 개선에... &quot; (2022/01/18, 2021년 무역보험공사의 역대 최대 지원 실적을 놓고) &quot;데이터가 가치 창출을 주도하는 &apos;데이터 경제... ",https://www.businesspost.co.kr/BP?command=article_view&num=290226,https://www.businesspost.co.kr/BP?command=article_view&num=290226,"Thu, 18 Aug 2022 08:36:00 +0900"
