,title,description,originallink,link
740,"디지털 혁신 기업들, 2021년 하반기 채용문 활짝 열리다","모집 부문은 서버개발자, 프론트엔드 개발자, 원장 개발자를 비롯해 <b>데이터 분석가</b>, 제품 디자이너, 보안 엔지니어 등 총 18개 직무다. 지난 3월 처음 선보인 토스증권 MTS(모바일트레이딩서비스)는 고객 중심의 새로운... ",http://www.epnc.co.kr/news/articleView.html?idxno=215795,http://www.epnc.co.kr/news/articleView.html?idxno=215795
741,"&quot;백신 넘어 통합 보안 기업으로&quot;…이스트시큐리티, 2021 하반기 채용 진행","이를 위해 기획, 개발, QA, <b>분석가</b>, 영업, 마케팅, 컨설팅, 엔지니어 등 다양한 직군들이 모여 본인의... 특히, 클라우드, <b>빅데이터</b>, 인공지능(AI) 등의 기술들이 사람들의 일상 깊숙한 곳까지 밀접하게 연결되면서, 이제... ",http://www.cctvnews.co.kr/news/articleView.html?idxno=231029,http://www.cctvnews.co.kr/news/articleView.html?idxno=231029
742,디지털 선도 기업들 하반기 채용 시작,"모집 부문은 서버개발자, 프론트엔드 개발자, 원장 개발자를 비롯해 <b>데이터 분석가</b>, 제품 디자이너, 보안 엔지니어 등 총 18개 직무다. 지난 3월 처음 선보인 토스증권 MTS(모바일트레이딩서비스)는 고객 중심의 새로운... ",https://sports.hankooki.com/lpage/economy/202110/sp20211020155751137000.htm?s_ref=nv,https://sports.hankooki.com/lpage/economy/202110/sp20211020155751137000.htm?s_ref=nv
743,‘앞으로 더 뜬다’ 인기 높은 새 IT 직무 5종,"그는 “<b>데이터</b> 조직들은 <b>데이터 분석가</b>, 사이언티스트, 엔지니어 생산성을 높이고 낭비를 없애며 개발 환경 구축, 분석 통합, 제공, 배치, 테스트, 모니터링을 조율하기 위해 도구 자동화 방안을 모색하고 있다.... ",https://www.ciokorea.com/news/211434,https://www.ciokorea.com/news/211434
744,"&apos;디지털 혁신&apos; 기업들, 너도나도 2021 하반기 채용문 &apos;활짝&apos;","모집 부문은 서버개발자, 프론트엔드 개발자, 원장 개발자를 비롯해 <b>데이터 분석가</b>, 제품 디자이너, 보안 엔지니어 등 총 18개 직무다. 지난 3월 처음 선보인 토스증권 MTS(모바일트레이딩서비스)는 고객 중심의... ",http://www.slist.kr/news/articleView.html?idxno=304144,http://www.slist.kr/news/articleView.html?idxno=304144
745,[AP미디어동향 10월 3주] 언론계 숙원사업 한국판 퓰리처상 제정外,■ [한국언론진흥재단]은 &apos;2021 뉴스<b>빅데이터</b> 해커톤&apos; 대회 대상인 문화체육관광부 장관상 수상자로... ▷ [CNN] 앵커이자 국정 수석 <b>분석가</b>인 케이시 헌트(Kasie Hunt)는 최근 양성 뇌종양을 제거하기 위해 4시간 동안... ,http://apnews.kr/View.aspx?No=2084066,http://apnews.kr/View.aspx?No=2084066
746,‘디지털 혁신’ 기업...2021 하반기 채용문 활짝!,"모집 부문은 서버개발자, 프론트엔드 개발자, 원장 개발자를 비롯해 <b>데이터 분석가</b>, 제품 디자이너, 보안 엔지니어 등 총 18개 직무다. 지난 3월 처음 선보인 토스증권 MTS(모바일트레이딩서비스)는 고객 중심의 새로운... ",http://www.beyondpost.co.kr/view.php?ud=20211020082924550046a9e4dd7f_30,http://www.beyondpost.co.kr/view.php?ud=20211020082924550046a9e4dd7f_30
747,[고용 이슈] ‘디지털 혁신’ 기업들 채용 소식 이어져 外,"모집 부문은 서버개발자, 프론트엔드 개발자, 원장 개발자를 비롯해 <b>데이터 분석가</b>, 제품 디자이너, 보안 엔지니어 등 총 18개 직무다. 지난 3월 처음 선보인 토스증권 MTS(모바일트레이딩서비스)는 고객 중심의 새로운... ",http://www.lawissue.co.kr/view.php?ud=202110200822438544204ead0791_12,http://www.lawissue.co.kr/view.php?ud=202110200822438544204ead0791_12
748,업무 효율성 결정짓는 UEM 플랫폼 선택 기준 10가지,엔드포인트 기기는 언제 어디서나 사용할 수 있으며 연결이 쉽고 <b>데이터</b> 집약적이다. 엔드포인트 기기는... 가트너 책임 <b>분석가</b> 댄 윌슨은 “동적 정책 및 상황별 접근뿐 아니라 새로운 인증 방법을 지원하기 위한... ,https://www.itworld.co.kr/news/211234,https://www.itworld.co.kr/news/211234
749,"뒤쳐진 韓 서비스산업 생태계, 혁신적 법제도 개편 시급","이는 서비스업도 마찬가지다”며 “소비자 서비스, 금융서비스 헬스케어 서비스 등 대표적인 서비스 업종에서도 새로이 부각되는 대표적인 직무 역할들의 상위 3~4개는 <b>데이터 분석가</b>, <b>빅데이터</b> 과학자, AI 및 머신러닝... ",http://www.skyedaily.com/news/news_view.html?ID=143398,http://www.skyedaily.com/news/news_view.html?ID=143398
